fecha;ica_expo_total;ica_impo_total;ica_saldo;ica_expo_pp;ica_expo_moa;ica_expo_moi;ica_expo_ce;ica_impo_bk;ica_impo_bi;ica_impo_cyl;ica_impo_piezas;ica_impo_bc;ica_impo_vehic;ica_impo_resto
2011-11-01;6493.166027620004;6229.756677859999;263.40934976000426;1186.2552521999996;2169.92076265;2521.49780797;615.4922048000001;1224.0313026099998;1798.9875436;589.5348368099999;1354.76330057;719.9556759;522.48333657;20.000681799999995
2011-12-01;6306.26266184;5987.404476209999;318.85818563000066;1120.66526137;1887.12681241;2564.7645649;733.7060231599999;1261.41935798;1633.82049451;716.51732999;1087.52159511;687.96407142;581.13455395;19.027073250000004
2012-01-01;5399.283104390001;5363.752326699999;35.53077769000265;1112.9622972800007;1648.1073084478207;1991.9291276343768;646.28436957;1230.3739924493764;1661.266942143621;389.3286986000001;996.2983061244568;651.2122029678578;418.3535598963491;16.91862064833738
2012-02-01;6004.528606770001;4724.98383984;1279.544766930001;1490.584176520001;2086.7907225041367;1822.474235237196;604.6794724999999;848.8043993495868;1440.8641441528946;445.8758252100001;986.3916587499856;504.52127777615806;470.5984367420892;27.928097427138404
2012-03-01;6199.9717717700005;5146.50963753;1053.4621342400003;1505.24605635;1906.7848230346476;2238.3005712891027;549.6403221299998;835.8714070972267;1537.6945092545898;482.54225883000015;1298.238936887568;490.5642240322664;475.3779648533081;26.220337546804984
2012-04-01;6714.955812340002;4769.81297701;1945.1428353300016;1692.1786714099994;2135.499952524711;2155.826757037788;731.45044051;636.2405368133794;1381.8134974091583;866.2731554899995;1017.2131108905414;433.95402629021777;409.657869345974;24.660789869212454
2012-05-01;7080.828074680002;5987.101227640001;1093.7268470400013;1891.84198681;2654.9562813740517;1965.3957939771865;568.6340112599999;746.7979892605407;1725.5207299373392;1317.0054774600003;1178.209232705736;582.920398547881;407.8166392557313;28.830761757050084
2012-06-01;6822.1708296900015;6033.504570100001;788.6662595900007;1788.9145602500018;2361.4386416132284;2197.2516781148674;474.56593443;850.1400179761918;1651.6370089067016;1421.8385535799985;1077.0053008211269;523.2586893040731;482.5907330419861;27.03426708102278
2012-07-01;7655.114773429998;6344.877497660001;1310.2372757699975;2259.82165714;2508.770099944977;2419.15026747489;467.37274351;938.1119923424548;1813.6478227174644;1265.623240040001;1253.878869075653;641.7759929478946;404.6915257126083;27.148063086415696
2012-08-01;7451.102899949998;6276.43274486;1174.670155089998;1952.5225470700009;2546.5340030084244;2390.1045122367145;561.94185224;1075.5573177578365;1798.669898201665;755.5353142299998;1452.9235068463556;705.1315674996645;451.5629200877148;37.05222662880454
2012-09-01;6803.127698030006;5854.62747987;948.5002181600066;1473.67926926;2357.978824787201;2378.531397565516;592.93822969;1231.6940006374052;1648.587513600503;641.3335958900003;1295.7063967384734;606.0345671280211;403.3246862199157;27.94672484798738
2012-10-01;6889.209248819999;6256.612371370001;632.5968774499979;1339.0364301699992;2315.279774961336;2619.229108930182;615.66391875;1127.4526059577554;1913.2898570785685;471.62439627000026;1510.118114356476;731.3723600197623;474.647628174628;28.107412587792727
2012-11-01;6649.426636689998;5779.47081789;869.9558187999983;1255.7150171600003;2288.4648280149368;2535.8182392370272;569.4285485100003;1144.274273146205;1752.4245274722855;499.12490806;1287.3930101278445;683.7741627892609;396.1283313985906;16.351607487584868
2012-12-01;6312.668431650003;5436.52903906;876.1393925900029;1275.53234084;1973.052383383405;2468.6671190689403;595.4166046800002;1122.7800966841742;1495.7880702533475;572.2300701500002;1042.4641379455843;624.6171439409718;563.871310211717;14.778216064856084
2013-01-01;5383.033030749999;5358.225540719999;24.807490029999823;1242.6964617399994;1674.8309686807677;1930.328101882689;535.17750222;931.1161883104844;1585.6742368017144;689.8444756799995;1099.00461256245;638.5218356564737;399.9917526617636;14.072439362879916
2013-02-01;4905.87306605;5174.7487146;-268.87564855000073;1201.2848377199998;1619.9488720633844;1747.1356878735082;337.50366848000004;830.2592217438533;1489.2831227694471;590.9208764400003;1170.4089583605207;581.1423821370887;501.3534748782397;11.380685456120192
2013-03-01;6159.95075635;5619.179678160001;540.7710781899996;1701.998502759999;1665.1612659308337;2276.8606655864182;515.9303202;839.3474179104844;1454.7588007303068;996.81911917;1285.8894227816284;608.5799313532441;408.3183626420792;25.466624927195767
2013-04-01;6895.3905926200005;6193.45819915;701.9323934700005;2172.13368255;2332.5007922457025;2070.104128054365;320.65198748;917.2572209875016;1685.5752040168136;881.2961250300001;1420.892688132892;626.9025495800838;648.5269125299519;13.007494247582596
2013-05-01;8393.245179279998;7028.08914824;1365.1560310399982;2394.73735689;2818.22461196365;2305.558040571322;874.72517445;1105.1614908779889;1793.0578931835569;1391.1209348699997;1453.269004533269;642.0494361063319;627.482861990108;15.947517304518191
2013-06-01;7483.39320457;6642.80578211;840.5874224600002;2090.220139600001;2679.573501265172;2242.444189181795;471.1553863699999;862.13744801455;1524.1880875945403;1861.7735992;1250.8570684815904;521.0704239467184;606.7647016011167;16.014461149892487
2013-07-01;6930.656703899998;6988.15531125;-57.49860735000129;1875.5828524700005;2548.031845865517;2119.98881738652;387.0531809800001;1048.389531522653;1774.1283034241849;1361.1164571699987;1449.576999326906;672.0412543818223;665.9571915268892;17.079962787596727
2013-08-01;7199.536884999999;7073.89803118;125.638853819999;1844.5341426300004;2786.0654931860427;2179.2071144056413;389.7301356;1026.0313421064873;1669.4098240852788;1507.1342428499993;1463.3682651677575;631.0908897315306;757.294853088445;19.56861501051074
2013-09-01;6544.807370479997;6028.93204507;515.8753254099975;1296.6631216700002;2644.8565002069013;2162.113961248351;441.17380196;1040.7950880920534;1696.1736857734986;607.9005803800009;1407.4856392236034;645.7286298164654;598.6083978097882;32.24002667377803
2013-10-01;6026.976189030004;6830.95882253;-803.9826334999962;883.5819221499997;2236.472189435349;2434.205610640934;472.71645913;1109.9276655264782;1795.5897441063962;944.8908763300004;1638.7189283853056;706.4199494060476;613.4565406478935;21.95513588506108
2013-11-01;5089.56340598;6091.6460739700005;-1002.08266799;439.56847062;1976.6299163429348;2239.7874073024054;433.57761099;1089.098080165864;1609.1794510921611;830.5860801;1273.5103617643354;636.56247711019;631.1327919573519;21.576834771518087
2013-12-01;4950.554977060001;5411.70274783;-461.1477707699987;621.4861876199998;2019.8788613740444;1927.0106820667872;382.17925547;973.1253401500852;1437.209270892074;800.6588825900002;1045.5009601342067;529.9009854920944;604.3073562113559;20.999961825959623
